Player,Serve Rating,% 1st Serve,% 1st Serve Points Won,% 2nd Serve Points Won,% Service Games Won,Aces Per Match,Avg Double Faults/Match,Surface
Lleyton Hewitt,263.1,53.90%,73.70%,52.60%,80.20%,6.3,3.6,All
Gilles Elseneer,263.1,61.50%,72.20%,48.20%,78.30%,7,4.1,All
Dmitry Tursunov,263.1,57.30%,72.70%,50.40%,79.20%,7.4,3.9,All
Martin Damm,262.9,55.70%,75.00%,49.00%,78.60%,8.2,3.6,All
Miomir Kecmanovic,262.8,60.40%,70.20%,52.50%,77.90%,4,2.2,All
Edouard Roger-Vasselin,262.8,64.80%,69.20%,49.60%,77.30%,4.3,2.4,All
Viktor Troicki,262.8,60.80%,72.40%,47.40%,76.80%,7.9,2.5,All
James Duckworth,262.7,56.30%,72.30%,49.90%,78.50%,9.3,3.6,All
Taylor Dent,262.6,57.10%,75.20%,49.00%,79.60%,7.5,5.8,All
Andrei Pavel,262.6,64.60%,68.90%,49.60%,76.70%,4.9,2.1,All
Thomas Enqvist,262.5,54.90%,75.60%,49.40%,79.60%,7.7,4.7,All
Sebastien Grosjean,262.4,55.70%,72.00%,52.20%,78.60%,5.6,1.7,All
Scott Draper,262.2,56.30%,72.50%,51.30%,78.20%,6.8,2.9,All
Juan Ignacio Londero,262.1,60.90%,68.80%,54.20%,77.20%,3.9,2.9,All
Alexander Bublik,262,58.20%,75.50%,44.60%,78.10%,12.1,6.5,All
Aslan Karatsev,262,59.30%,72.10%,50.60%,78.50%,5.4,3.9,All
Agustin Calleri,261.9,55.30%,74.40%,49.80%,78.80%,7,3.4,All
Robin Haase,261.9,59.40%,71.70%,49.40%,77.70%,6.5,2.8,All
Jurgen Melzer,261.9,61.40%,69.80%,50.60%,77.60%,5.4,2.9,All
Nicolas Pereira,261.8,61.40%,73.10%,46.10%,78.10%,6.4,3.3,All
Lukas Rosol,261.8,58.00%,72.30%,49.70%,78.60%,6.6,3.4,All
Philipp Petzschner,261.7,55.40%,74.00%,49.80%,78.40%,7.2,3.1,All
John Millman,261.7,61.70%,68.30%,52.80%,76.50%,4.4,2,All
