Player,Under Pressure Rating,% Break Points Converted,% Break Points Saved,% Tie Breaks Won,% Deciding Sets Won,Surface
Jeremy Bates,208.7,40.00%,53.30%,42.10%,73.30%,Hard
Feliciano Lopez,208.7,35.30%,66.30%,53.30%,53.80%,Hard
Dominic Thiem,208.6,38.30%,62.60%,52.00%,55.70%,Hard
Michael Stich,208.5,41.10%,66.10%,50.00%,51.30%,Hard
Jiri Novak,208.2,43.20%,61.10%,40.90%,63.00%,Hard
Scott Draper,207.9,36.40%,63.10%,52.80%,55.60%,Hard
Jamie Morgan,207.9,34.70%,58.50%,59.50%,55.20%,Hard
Younes El Aynaoui,207.6,35.30%,63.20%,61.60%,47.50%,Hard
Jack Sock,207.5,39.00%,61.40%,52.70%,54.40%,Hard
Arnaud Boetsch,207.4,40.90%,61.00%,47.90%,57.60%,Hard
James Blake,207.3,41.60%,61.30%,52.70%,51.70%,Hard
David Nainkin,207.1,44.60%,54.00%,55.60%,52.90%,Hard
Luiz Mattar,207,38.80%,60.30%,62.10%,45.80%,Hard
Radek Stepanek,207,40.60%,60.80%,50.00%,55.60%,Hard
Paradorn Srichaphan,207,39.30%,60.60%,53.80%,53.30%,Hard
Viktor Troicki,206.9,41.30%,60.00%,50.00%,55.60%,Hard
Flavio Cipolla,206.6,43.20%,55.00%,66.70%,41.70%,Hard
Taylor Fritz,206.5,35.90%,63.50%,53.50%,53.60%,Hard
Carl-Uwe Steeb,206.5,44.20%,56.70%,55.60%,50.00%,Hard
Takao Suzuki,206.4,37.60%,62.10%,59.30%,47.40%,Hard
Mardy Fish,206.3,41.00%,62.10%,44.80%,58.40%,Hard
Nicolas Lapentti,206.3,38.80%,59.50%,48.00%,60.00%,Hard
Andreas Vinciguerra,206.2,41.30%,65.60%,45.50%,53.80%,Hard
Paul Haarhuis,205.9,41.60%,61.30%,45.60%,57.40%,Hard
Patrick McEnroe,205.8,42.50%,61.30%,44.60%,57.40%,Hard
Florent Serra,205.6,39.60%,61.30%,44.70%,60.00%,Hard
Jeremy Chardy,205.4,36.60%,63.90%,47.80%,57.10%,Hard
Steve Darcis,205.4,40.90%,58.70%,55.80%,50.00%,Hard
Sjeng Schalken,205.2,40.90%,59.40%,52.10%,52.80%,Hard
Horacio Zeballos,205.2,39.50%,63.10%,45.50%,57.10%,Hard
Alexei Popyrin,205,34.70%,65.20%,62.20%,42.90%,Hard
Bernd Karbacher,204.9,40.70%,58.40%,64.30%,41.50%,Hard
Jarkko Nieminen,204.9,41.20%,60.60%,54.10%,49.00%,Hard
Felix Mantilla,204.9,42.50%,59.40%,51.70%,51.30%,Hard
Peter Lundgren,204.8,35.60%,55.60%,63.60%,50.00%,Hard
Ricardo Mello,204.8,38.30%,57.20%,57.10%,52.20%,Hard
Jonas Svensson,204.8,42.70%,62.10%,50.00%,50.00%,Hard
Carlos Costa,204.4,42.40%,58.60%,55.00%,48.40%,Hard
Jerome Golmard,204.3,41.80%,59.40%,53.10%,50.00%,Hard
Guillermo Canas,204.2,40.90%,61.50%,46.20%,55.60%,Hard
Andrei Stoliarov,204.1,37.60%,58.60%,50.00%,57.90%,Hard
Javier Frana,203.9,39.50%,61.00%,51.40%,52.00%,Hard
Fabrice Santoro,203.9,42.40%,59.90%,51.00%,50.60%,Hard
Fernando Vicente,203.9,40.30%,59.20%,42.90%,61.50%,Hard
Alexander Popp,203.8,38.50%,60.10%,66.70%,38.50%,Hard
Max Mirnyi,203.6,35.80%,65.40%,53.90%,48.50%,Hard
Emilio Sanchez,203.5,39.70%,60.40%,56.30%,47.10%,Hard
Hicham Arazi,203.4,40.20%,61.40%,47.80%,54.00%,Hard
Karsten Braasch,203.4,38.80%,63.20%,63.90%,37.50%,Hard
MaliVai Washington,203.3,42.10%,59.80%,48.60%,52.80%,Hard
Pablo Carreno Busta,203.2,41.90%,62.00%,53.30%,46.00%,Hard
Chris Pridham,203.2,36.80%,60.60%,52.90%,52.90%,Hard
Chris Woodruff,203.2,37.90%,60.90%,51.10%,53.30%,Hard
Ivan Lendl,203.1,42.90%,65.30%,44.90%,50.00%,Hard
Jakob Hlasek,202.9,41.70%,59.60%,40.30%,61.30%,Hard
Andrei Pavel,202.9,40.40%,59.60%,53.60%,49.30%,Hard
Ivan Dodig,202.3,40.50%,60.90%,52.70%,48.20%,Hard
Andreas Seppi,202.2,40.90%,59.70%,45.50%,56.10%,Hard
Aljaz Bedene,202.1,37.50%,58.90%,46.60%,59.10%,Hard
Hyeon Chung,202,42.20%,57.50%,44.00%,58.30%,Hard
Ivo Karlovic,202,31.40%,71.70%,48.60%,50.30%,Hard
Arnaud Clement,201.9,39.70%,58.50%,51.30%,52.40%,Hard
Aslan Karatsev,201.9,39.70%,62.20%,50.00%,50.00%,Hard
Patrick Baur,201.8,34.70%,62.90%,54.20%,50.00%,Hard
Sergiy Stakhovsky,201.7,36.30%,61.00%,52.20%,52.20%,Hard
Peter Gojowczyk,201.6,38.50%,60.30%,45.70%,57.10%,Hard
Jurgen Melzer,201.6,39.30%,61.10%,47.60%,53.60%,Hard
Julien Benneteau,201.5,39.60%,59.00%,54.70%,48.20%,Hard
Christian Bergstrom,201.4,45.50%,57.20%,48.70%,50.00%,Hard
Marc Rosset,201.4,38.20%,62.50%,51.20%,49.50%,Hard
Cedrik-Marcel Stebe,201.4,36.40%,55.40%,66.70%,42.90%,Hard
Vladimir Voltchkov,201.3,35.10%,59.30%,38.50%,68.40%,Hard
Mario Ancic,201.2,38.70%,60.00%,46.60%,55.90%,Hard
Wally Masur,201.2,40.30%,60.90%,44.40%,55.60%,Hard
Nikoloz Basilashvili,200.8,39.20%,58.70%,50.80%,52.10%,Hard
Daniel Vacek,200.8,37.00%,59.30%,52.60%,51.90%,Hard
Paul-Henri Mathieu,200.7,38.40%,60.90%,54.10%,47.30%,Hard
David Wheaton,200.7,39.30%,62.10%,49.30%,50.00%,Hard
Jonas Bjorkman,200.6,41.20%,59.00%,50.40%,50.00%,Hard
Olivier Delaitre,200.4,40.80%,55.70%,48.60%,55.30%,Hard
Jerzy Janowicz,200.4,37.70%,63.30%,48.20%,51.20%,Hard
Andrei Cherkasov,200.3,41.60%,58.70%,50.00%,50.00%,Hard
Aaron Krickstein,200.2,41.30%,61.10%,46.70%,51.10%,Hard
Marton Fucsovics,200,40.00%,61.10%,48.90%,50.00%,Hard
Lloyd Harris,199.9,39.50%,61.00%,37.50%,61.90%,Hard
Martin Verkerk,199.9,39.20%,62.40%,58.30%,40.00%,Hard
Donald Young,199.8,38.30%,57.30%,54.80%,49.40%,Hard
Jean-Rene Lisnard,199.6,40.10%,53.70%,52.90%,52.90%,Hard
Andrew Ilie,199.5,35.60%,57.90%,61.90%,44.10%,Hard
Thanasi Kokkinakis,199.5,38.00%,64.70%,56.80%,40.00%,Hard
Guillaume Raoux,199.5,37.80%,58.60%,58.30%,44.80%,Hard
Stefano Pescosolido,199.3,39.30%,55.10%,56.30%,48.60%,Hard
Benoit Paire,199.1,38.20%,59.30%,52.10%,49.50%,Hard
Ernests Gulbis,199,36.10%,64.10%,45.30%,53.50%,Hard
Sam Querrey,199,38.20%,62.00%,49.10%,49.70%,Hard
Andrei Medvedev,199,41.00%,58.60%,52.30%,47.10%,Hard
Taylor Dent,198.9,41.50%,60.40%,52.90%,44.10%,Hard
Cedric Pioline,198.9,40.00%,60.50%,53.60%,44.80%,Hard
John van Lottum,198.9,40.40%,58.20%,65.50%,34.80%,Hard
Malek Jaziri,198.8,35.70%,61.20%,51.90%,50.00%,Hard
Guillermo Garcia-Lopez,198.7,39.50%,58.90%,48.80%,51.50%,Hard
Juan Ignacio Chela,198.5,40.90%,57.60%,49.50%,50.50%,Hard
David Rikl,198.5,36.50%,58.90%,80.00%,23.10%,Hard
Philipp Kohlschreiber,198.2,40.00%,64.80%,46.90%,46.50%,Hard
Marinko Matosevic,198.1,38.60%,60.00%,52.30%,47.20%,Hard
Fernando Verdasco,198.1,40.30%,62.90%,47.30%,47.60%,Hard
Michal Tabara,197.9,40.40%,55.00%,62.50%,40.00%,Hard
Dominik Hrbaty,197.6,41.80%,61.10%,48.40%,46.30%,Hard
Gregory Carraz,197.4,42.20%,63.10%,42.10%,50.00%,Hard
Gianluca Pozzi,197.3,40.90%,57.10%,49.30%,50.00%,Hard
Diego Schwartzman,197.3,42.10%,58.00%,43.90%,53.30%,Hard
Ugo Humbert,196.9,36.60%,64.10%,47.90%,48.30%,Hard
Ivo Minar,196.8,41.60%,57.00%,44.40%,53.80%,Hard
Mikhail Kukushkin,196.7,41.60%,59.30%,52.10%,43.70%,Hard
Jacco Eltingh,196.6,35.20%,59.20%,62.20%,40.00%,Hard
Marcos Giron,196.6,34.50%,62.70%,43.80%,55.60%,Hard
Andreas Beck,196.5,37.70%,62.30%,69.20%,27.30%,Hard
Byron Black,196.3,42.10%,59.70%,43.80%,50.70%,Hard
Somdev Devvarman,196.3,39.90%,58.80%,45.20%,52.40%,Hard
Richard Fromberg,196.2,36.80%,61.60%,51.20%,46.60%,Hard
Albert Montanes,196.1,39.70%,56.60%,44.20%,55.60%,Hard
Albert Costa,196,37.70%,59.70%,45.60%,53.00%,Hard
Wayne Odesnik,196,35.90%,58.70%,45.80%,55.60%,Hard
Rainer Schuettler,196,44.10%,57.00%,47.90%,47.00%,Hard
Marcel Granollers,195.6,38.30%,56.20%,47.10%,54.00%,Hard
Tommy Paul,195.5,38.80%,60.30%,46.40%,50.00%,Hard
Renzo Furlan,195.4,40.60%,54.00%,46.00%,54.80%,Hard
Denis Gremelmayr,195.3,39.00%,60.10%,50.00%,46.20%,Hard
Teymuraz Gabashvili,195.3,38.30%,59.00%,53.20%,44.80%,Hard
Ricardas Berankis,195.2,38.60%,59.90%,50.00%,46.70%,Hard
Carlos Berlocq,195.2,38.10%,55.10%,39.50%,62.50%,Hard
Martin Klizan,195.2,40.00%,61.00%,47.10%,47.10%,Hard
Michael Joyce,195.2,42.20%,56.50%,65.50%,31.00%,Hard
Joao Sousa,195.2,36.90%,57.70%,48.80%,51.80%,Hard
Kristof Vliegen,195.1,38.40%,57.70%,52.60%,46.40%,Hard
Peter Wessels,195,38.80%,60.20%,48.60%,47.40%,Hard
Martin Damm,194.8,34.90%,57.90%,52.00%,50.00%,Hard
Radu Albot,194.7,37.30%,57.90%,54.50%,45.00%,Hard
Antony Dupuis,194.7,36.00%,59.20%,58.80%,40.70%,Hard
Olivier Rochus,194.7,41.80%,59.30%,38.00%,55.60%,Hard
Vincent Spadea,194.7,42.70%,59.40%,40.30%,52.30%,Hard
Reilly Opelka,194.6,30.20%,69.40%,48.80%,46.20%,Hard
Chuck Adams,194.4,36.50%,59.60%,55.40%,42.90%,Hard
Sargis Sargsian,194.4,41.00%,57.30%,55.40%,40.70%,Hard
Mark Woodforde,194.4,40.00%,62.00%,43.80%,48.60%,Hard
Jan-Lennard Struff,194.4,37.50%,60.20%,46.70%,50.00%,Hard
Carsten Arriens,194.3,40.60%,55.40%,58.30%,40.00%,Hard
Lukas Rosol,194.2,33.80%,62.50%,47.90%,50.00%,Hard
Javier Sanchez,194.2,39.60%,58.70%,44.10%,51.80%,Hard
Brett Steven,194,40.50%,61.40%,49.20%,42.90%,Hard
Doug Flach,193.9,40.50%,54.50%,62.50%,36.40%,Hard
Denis Istomin,193.9,39.00%,60.60%,46.20%,48.10%,Hard
Alex O'Brien,193.9,39.30%,57.40%,59.20%,38.00%,Hard
Andreas Haider-Maurer,193.8,32.90%,63.10%,44.00%,53.80%,Hard
Thomas Hogstedt,193.8,43.30%,54.10%,36.40%,60.00%,Hard
Alexandr Dolgopolov,193.7,40.00%,58.10%,50.50%,45.10%,Hard
Wesley Moodie,193.6,34.40%,63.40%,44.10%,51.70%,Hard
Bradley Klahn,193.5,36.20%,56.90%,54.20%,46.20%,Hard
Michael Tebbutt,193.5,38.50%,61.90%,43.10%,50.00%,Hard
Marius Copil,193.2,35.40%,62.40%,58.70%,36.70%,Hard
Henrik Holm,193.2,40.80%,61.40%,42.10%,48.90%,Hard
Vasek Pospisil,193.2,37.00%,64.40%,45.50%,46.30%,Hard
Lars Jonsson,193,41.00%,61.10%,50.00%,40.90%,Hard
Simon Greul,193,38.60%,56.70%,44.40%,53.30%,Hard
Hubert Hurkacz,193,38.70%,63.00%,43.20%,48.10%,Hard
Dennis Van Scheppingen,193,37.90%,57.40%,25.00%,72.70%,Hard
Nicolas Almagro,192.9,37.20%,62.10%,46.30%,47.30%,Hard
Taro Daniel,192.8,35.40%,61.70%,54.80%,40.90%,Hard
Davide Sanguinetti,192.8,40.60%,59.00%,44.90%,48.30%,Hard
Janko Tipsarevic,192.8,39.70%,62.50%,47.90%,42.70%,Hard
Philipp Petzschner,192.6,38.00%,56.80%,52.80%,45.00%,Hard
Steve Johnson,192.5,34.10%,66.90%,42.20%,49.30%,Hard
Adrian Mannarino,192.5,41.60%,60.00%,45.90%,45.00%,Hard
Todd Witsken,192.4,41.60%,53.70%,53.30%,43.80%,Hard
Chris Guccione,192.1,30.60%,70.00%,53.40%,38.10%,Hard
Igor Kunitsyn,192.1,38.70%,55.00%,48.40%,50.00%,Hard
Mackenzie McDonald,192.1,39.80%,58.00%,57.90%,36.40%,Hard
Igor Andreev,192,38.00%,60.70%,49.00%,44.30%,Hard
Filip Krajinovic,192,41.10%,62.70%,46.50%,41.70%,Hard
Kyle Edmund,191.9,35.40%,62.70%,50.00%,43.80%,Hard
Sebastien Grosjean,191.9,43.00%,59.70%,53.40%,35.80%,Hard
Grant Stafford,191.7,42.60%,56.20%,50.00%,42.90%,Hard
Jiri Vesely,191.7,35.40%,62.40%,48.40%,45.50%,Hard
Matteo Berrettini,191.6,34.90%,66.10%,55.60%,35.00%,Hard
Ramon Delgado,191.4,39.30%,57.10%,40.00%,55.00%,Hard
Florian Mayer,191.4,41.10%,57.30%,37.70%,55.30%,Hard
Karim Alami,191.3,35.70%,59.40%,46.20%,50.00%,Hard
Marcos Ondruska,191.1,43.40%,57.60%,39.10%,51.00%,Hard
Cameron Norrie,191,40.40%,63.00%,41.20%,46.40%,Hard
Bjorn Phau,190.8,40.70%,55.30%,48.90%,45.90%,Hard
Robbie Weiss,190.7,40.20%,55.90%,52.90%,41.70%,Hard
Pierre-Hugues Herbert,190.3,37.70%,62.60%,45.30%,44.70%,Hard
Nicolas Massu,190.3,40.30%,62.60%,45.70%,41.70%,Hard
Illya Marchenko,190.2,39.70%,57.70%,48.80%,44.00%,Hard
Matthew Ebden,190.1,39.80%,56.90%,41.50%,51.90%,Hard
Michel Kratochvil,190.1,41.40%,58.90%,58.50%,31.30%,Hard
Bohdan Ulihrach,190.1,40.10%,59.10%,42.00%,48.90%,Hard
Thomaz Bellucci,189.7,36.40%,62.10%,51.20%,40.00%,Hard
Tatsuma Ito,189.7,34.30%,53.30%,60.00%,42.10%,Hard
Laslo Djere,189.5,35.30%,55.20%,19.00%,80.00%,Hard
Dusan Lajovic,189.5,41.70%,58.00%,43.10%,46.70%,Hard
Xavier Malisse,189.5,40.90%,59.90%,48.10%,40.60%,Hard
Alex Radulescu,189.4,40.70%,57.50%,50.00%,41.20%,Hard
George Bastl,189.3,35.70%,58.10%,45.50%,50.00%,Hard
Markus Zoecke,189.1,34.30%,65.10%,51.20%,38.50%,Hard
Karen Khachanov,189,40.30%,63.20%,45.80%,39.70%,Hard
Thierry Champion,188.9,39.50%,55.00%,50.00%,44.40%,Hard
Leonardo Lavalle,188.9,37.40%,58.50%,38.50%,54.50%,Hard
Jared Palmer,188.8,42.90%,62.40%,42.10%,41.40%,Hard
Gilbert Schaller,188.7,36.20%,59.60%,52.90%,40.00%,Hard
Franco Squillari,188.7,38.20%,60.10%,37.50%,52.90%,Hard
Mischa Zverev,188.6,39.00%,60.70%,46.90%,42.00%,Hard
Robby Ginepri,188.5,40.40%,58.40%,45.90%,43.80%,Hard
Alex Bogomolov Jr.,188.3,42.60%,57.20%,38.50%,50.00%,Hard
Frank Dancevic,188.2,35.20%,58.00%,53.80%,41.20%,Hard
Wayne Arthurs,188.1,30.60%,66.10%,41.40%,50.00%,Hard
Alex Antonitsch,187.9,42.00%,60.70%,38.50%,46.70%,Hard
Lukas Lacko,187.7,37.30%,57.80%,50.00%,42.60%,Hard
Nicolas Mahut,187.6,37.20%,61.00%,45.90%,43.50%,Hard
Steve Campbell,187.5,43.60%,55.40%,38.50%,50.00%,Hard
Wayne Black,187.3,40.80%,56.40%,59.30%,30.80%,Hard
Magnus Gustafsson,187.2,40.10%,57.40%,42.10%,47.60%,Hard
Bryan Shelton,187.2,29.90%,62.30%,52.10%,42.90%,Hard
James Duckworth,187.1,36.50%,64.20%,50.00%,36.40%,Hard
Jeff Tarango,187,41.10%,58.90%,41.20%,45.80%,Hard
Jason Stoltenberg,187,40.30%,59.70%,41.90%,45.10%,Hard
Daniel Brands,186.7,30.60%,63.60%,45.10%,47.40%,Hard
Pablo Cuevas,186.5,36.20%,59.30%,56.10%,34.90%,Hard
Paolo Lorenzi,186.5,37.50%,56.70%,42.30%,50.00%,Hard
Lars Burgsmuller,186.4,40.00%,57.10%,36.80%,52.50%,Hard
Lionel Roux,186.4,42.60%,58.80%,46.20%,38.80%,Hard
Juan Monaco,186.2,41.40%,55.40%,46.30%,43.10%,Hard
Rodolphe Gilbert,186.1,35.90%,60.90%,45.20%,44.10%,Hard
Christian Ruud,186,35.50%,59.60%,52.40%,38.50%,Hard
Alberto Martin,186,40.30%,56.00%,42.90%,46.80%,Hard
Sandon Stolle,185.9,39.30%,54.90%,41.70%,50.00%,Hard
Joern Renzenbrink,185.8,38.10%,58.50%,57.90%,31.30%,Hard
Alejandro Falla,185.7,41.00%,57.20%,45.60%,41.90%,Hard
Ryan Harrison,185.7,38.70%,63.00%,33.30%,50.70%,Hard
Sebastien Lareau,185.7,37.90%,61.00%,44.30%,42.50%,Hard
Shuzo Matsuoka,185.1,41.30%,61.50%,40.40%,41.90%,Hard
Karol Beck,184.8,36.60%,56.10%,45.20%,46.90%,Hard
Michael Llodra,184.8,35.00%,61.60%,53.20%,35.00%,Hard
John Millman,184.8,43.00%,58.70%,41.00%,42.10%,Hard
Bjorn Fratangelo,184.7,39.70%,55.50%,53.80%,35.70%,Hard
Stephane Simian,184.7,33.70%,58.40%,40.00%,52.60%,Hard
Andrea Gaudenzi,184.6,35.50%,59.00%,54.80%,35.30%,Hard
Jim Grabb,184.4,35.10%,61.30%,46.20%,41.80%,Hard
Cristiano Caratti,184.3,41.40%,57.80%,40.40%,44.70%,Hard
Alex Calatrava,184.2,38.90%,61.50%,36.00%,47.80%,Hard
Jordan Thompson,184.1,39.60%,61.20%,33.30%,50.00%,Hard
Jose Acasuso,183.8,35.50%,58.40%,44.20%,45.70%,Hard
Jonathan Stark,183.8,38.70%,61.00%,46.40%,37.70%,Hard
David Prinosil,183.7,41.10%,57.50%,36.20%,48.90%,Hard
Federico Delbonis,183.6,35.40%,61.20%,50.00%,37.00%,Hard
Hyung-Taik Lee,183.5,38.10%,57.40%,52.10%,35.90%,Hard
Harel Levy,183.5,39.90%,58.10%,40.00%,45.50%,Hard
Grant Connell,183.4,33.00%,64.40%,39.30%,46.70%,Hard
Raemon Sluiter,183.3,35.80%,61.90%,43.90%,41.70%,Hard
Cecil Mamiit,183.1,38.40%,56.10%,54.50%,34.10%,Hard
Bobby Reynolds,182.9,33.90%,59.60%,50.00%,39.40%,Hard
Albert Ramos-Vinolas,182.7,37.30%,61.50%,44.20%,39.70%,Hard
Dudi Sela,182.7,40.70%,56.80%,48.40%,36.80%,Hard
Julien Boutter,182.5,35.40%,61.90%,28.10%,57.10%,Hard
Frances Tiafoe,182.5,38.60%,62.20%,45.30%,36.40%,Hard
Henri Laaksonen,182.4,39.50%,58.00%,47.40%,37.50%,Hard
Paul Goldstein,182,41.50%,59.80%,42.90%,37.80%,Hard
Ryan Sweeting,182,42.90%,57.60%,44.00%,37.50%,Hard
Guido Pella,181.9,37.20%,62.30%,40.00%,42.40%,Hard
Stephane Robert,181.9,38.00%,56.40%,45.80%,41.70%,Hard
Danai Udomchoke,181.8,37.00%,56.40%,57.10%,31.30%,Hard
Rajeev Ram,181.5,35.40%,58.70%,51.90%,35.50%,Hard
Gary Muller,181.2,36.60%,57.10%,50.00%,37.50%,Hard
Paul Capdeville,181,41.70%,53.40%,52.60%,33.30%,Hard
Tomas Behrend,180.9,35.50%,56.90%,38.50%,50.00%,Hard
Benjamin Becker,180.9,38.60%,58.00%,38.50%,45.80%,Hard
Cristian Garin,180.8,36.30%,57.00%,37.50%,50.00%,Hard
Michiel Schapers,180.7,34.80%,59.20%,23.10%,63.60%,Hard
Edouard Roger-Vasselin,180.6,37.00%,58.50%,44.20%,40.90%,Hard
Michael Berrer,180.4,36.10%,62.10%,42.50%,39.70%,Hard
Julian Alonso,180,36.40%,54.70%,33.30%,55.60%,Hard
Mariano Puerta,180,38.00%,60.60%,64.70%,16.70%,Hard
Mariano Zabaleta,180,34.70%,57.10%,41.30%,46.90%,Hard
Andrey Kuznetsov,179.9,38.10%,59.60%,51.40%,30.80%,Hard
Marco Chiudinelli,179.8,37.80%,61.20%,38.90%,41.90%,Hard
Robin Haase,179.8,39.90%,60.40%,38.40%,41.10%,Hard
Go Soeda,179.7,35.80%,55.90%,40.00%,48.00%,Hard
Neil Borwick,179.4,36.70%,58.60%,42.90%,41.20%,Hard
Steve Bryan,179.3,41.60%,54.40%,33.30%,50.00%,Hard
Christophe Rochus,179.2,38.70%,53.40%,50.00%,37.10%,Hard
Ruben Bemelmans,179.1,38.30%,62.80%,39.10%,38.90%,Hard
Amer Delic,179.1,34.60%,64.00%,45.70%,34.80%,Hard
Jiri Vanek,179,37.50%,60.60%,40.90%,40.00%,Hard
Slava Dosedel,178.9,41.90%,57.40%,42.90%,36.70%,Hard
Francisco Clavet,178.5,42.00%,57.00%,37.80%,41.70%,Hard
Thiemo de Bakker,178.4,35.70%,61.80%,40.00%,40.90%,Hard
Marcelo Filippini,178.3,36.90%,54.70%,66.70%,20.00%,Hard
Yuichi Sugita,178.2,38.00%,60.20%,42.50%,37.50%,Hard
Filip Dewulf,178,44.00%,58.00%,28.60%,47.40%,Hard
Nicklas Kulti,177.7,38.20%,58.10%,50.00%,31.40%,Hard
Oleg Ogorodov,177.6,35.70%,63.10%,45.50%,33.30%,Hard
Jared Donaldson,177.5,40.80%,57.20%,39.50%,40.00%,Hard
Neville Godwin,177.5,39.80%,58.50%,31.60%,47.60%,Hard
Christo Van Rensburg,177.4,38.50%,58.50%,50.00%,30.40%,Hard
Jan Vacek,177.4,35.00%,56.20%,52.90%,33.30%,Hard
Gaston Gaudio,177,37.10%,55.00%,47.40%,37.50%,Hard
Johan Van Herck,177,42.20%,56.90%,68.80%,9.10%,Hard
Michael Russell,176.9,41.00%,55.00%,42.30%,38.60%,Hard
Cyril Saulnier,176.8,37.00%,61.70%,44.80%,33.30%,Hard
Tomas Carbonell,176.5,40.60%,51.30%,39.10%,45.50%,Hard
Marc Gicquel,175.9,39.50%,61.80%,38.60%,36.00%,Hard
Yen-Hsun Lu,175.8,37.90%,58.30%,48.50%,31.10%,Hard
Irakli Labadze,175.7,40.30%,59.20%,40.90%,35.30%,Hard
Andre Sa,175.7,41.00%,54.70%,60.00%,20.00%,Hard
Jan Hernych,175.5,42.00%,59.20%,34.30%,40.00%,Hard
Sam Groth,175.4,33.60%,63.50%,39.20%,39.10%,Hard
Danilo Marcelino,175.4,35.10%,58.20%,25.00%,57.10%,Hard
Hernan Gumy,175.1,43.20%,56.60%,43.50%,31.80%,Hard
Denis Kudla,175,38.70%,57.40%,38.20%,40.70%,Hard
Martin Sinner,175,34.20%,56.60%,46.70%,37.50%,Hard
Brian Baker,174.8,31.50%,58.30%,57.70%,27.30%,Hard
Agustin Calleri,174.6,38.10%,60.60%,39.70%,36.20%,Hard
Peter Polansky,174.6,36.40%,60.50%,44.40%,33.30%,Hard
Simon Youl,174.5,37.50%,60.90%,26.10%,50.00%,Hard
Ilya Ivashka,174.2,32.50%,60.50%,45.50%,35.70%,Hard
Galo Blanco,174,28.40%,61.60%,42.30%,41.70%,Hard
Simone Bolelli,173.9,37.40%,59.90%,44.30%,32.30%,Hard
Kevin Curren,173.4,36.50%,58.20%,41.20%,37.50%,Hard
Jan Apell,173.1,40.30%,58.60%,40.90%,33.30%,Hard
Victor Estrella Burgos,173,39.80%,56.20%,35.30%,41.70%,Hard
Rik De Voest,173,38.70%,59.10%,44.40%,30.80%,Hard
Nicolas Jarry,173,35.10%,66.10%,33.30%,38.50%,Hard
Horst Skoff,173,37.00%,59.30%,26.70%,50.00%,Hard
Leonardo Mayer,172.9,37.30%,60.90%,43.00%,31.70%,Hard
Tennys Sandgren,172.9,34.30%,64.80%,43.80%,30.00%,Hard
Luis Horna,172.6,39.30%,61.40%,38.60%,33.30%,Hard
Dustin Brown,172.3,33.80%,63.50%,48.10%,26.90%,Hard
Marc-Kevin Goellner,172.3,35.10%,59.20%,43.50%,34.50%,Hard
Stefano Travaglia,171.8,39.00%,56.70%,26.10%,50.00%,Hard
Kevin Kim,171.7,38.30%,53.90%,33.30%,46.20%,Hard
Bob Bryan,171.2,39.90%,54.60%,16.70%,60.00%,Hard
Tim Smyczek,171.2,39.40%,58.70%,32.60%,40.50%,Hard
Justin Gimelstob,170.7,39.20%,57.70%,41.60%,32.20%,Hard
Gouichi Motomura,170.6,40.00%,52.90%,44.40%,33.30%,Hard
Evgeny Donskoy,170.5,37.90%,62.10%,45.50%,25.00%,Hard
Laurence Tieleman,170.5,37.30%,61.00%,52.20%,20.00%,Hard
Alexander Mronz,170.3,39.90%,60.50%,35.30%,34.60%,Hard
Luis Herrera,169.8,39.90%,57.30%,47.60%,25.00%,Hard
Brian Vahaly,169.7,40.30%,56.90%,31.30%,41.20%,Hard
Ruben Ramirez Hidalgo,169.7,36.00%,53.10%,55.60%,25.00%,Hard
Lukasz Kubot,169.6,40.40%,59.70%,38.90%,30.60%,Hard
Santiago Giraldo,169.2,38.90%,58.60%,35.30%,36.40%,Hard
Mikael Ymer,169.2,41.70%,54.20%,33.30%,40.00%,Hard
Daniel Nestor,168.6,35.00%,63.60%,35.20%,34.80%,Hard
Robert Kendrick,168.5,34.00%,59.50%,43.20%,31.80%,Hard
Victor Hanescu,168.5,37.50%,61.00%,39.20%,30.80%,Hard
Norbert Gombos,168.4,34.30%,60.80%,40.00%,33.30%,Hard
Patrik Kuhnen,168.4,39.80%,59.40%,48.10%,21.10%,Hard
Matthias Bachinger,168.2,33.00%,62.20%,28.60%,44.40%,Hard
Michal Przysiezny,168.2,38.50%,61.10%,40.00%,28.60%,Hard
Kenny De Schepper,167.9,26.70%,66.90%,37.90%,36.40%,Hard
Kristian Pless,167.6,39.30%,63.60%,31.40%,33.30%,Hard
Fernando Meligeni,167,38.60%,56.80%,29.30%,42.30%,Hard
Tommy Ho,166.6,41.00%,58.40%,52.20%,15.00%,Hard
Tobias Kamke,165.9,39.10%,55.40%,46.40%,25.00%,Hard
Ivo Heuberger,165.5,43.30%,58.40%,43.80%,20.00%,Hard
Pablo Andujar,164.4,39.20%,54.00%,39.50%,31.70%,Hard
Andrey Golubev,163.9,40.80%,59.30%,37.10%,26.70%,Hard
Peter Luczak,163.8,36.20%,60.90%,40.00%,26.70%,Hard
Maximilian Marterer,163.8,33.80%,59.90%,36.80%,33.30%,Hard
Diego Nargiso,163.8,42.60%,62.90%,31.00%,27.30%,Hard
Francisco Roig,163.8,44.30%,52.80%,20.00%,46.70%,Hard
Jaime Oncins,163.6,41.10%,57.40%,42.90%,22.20%,Hard
Blaz Kavcic,163.5,39.90%,56.70%,37.50%,29.40%,Hard
Leander Paes,163.3,36.80%,56.80%,28.00%,41.70%,Hard
