Player,Under Pressure Rating,% Break Points Converted,% Break Points Saved,% Tie Breaks Won,% Deciding Sets Won,Surface
Lukas Rosol,198.5,36.30%,63.00%,51.50%,47.70%,All
Andrew Ilie,198.4,36.50%,60.10%,52.60%,49.20%,All
Julian Alonso,198.2,41.40%,56.80%,42.10%,57.90%,All
German Lopez,198.2,40.80%,61.80%,48.00%,47.60%,All
Galo Blanco,198.1,39.30%,59.10%,55.30%,44.40%,All
Tomas Carbonell,198.1,44.00%,55.80%,45.10%,53.20%,All
Guillermo Garcia-Lopez,198.1,40.00%,58.70%,47.80%,51.60%,All
Gianluca Pozzi,198.1,39.80%,57.50%,50.00%,50.80%,All
Florian Mayer,198,40.90%,57.90%,45.80%,53.40%,All
Karim Alami,197.9,38.40%,57.90%,49.60%,52.00%,All
Brian Baker,197.9,35.10%,57.80%,57.90%,47.10%,All
Alexandr Dolgopolov,197.7,39.60%,59.90%,52.20%,46.00%,All
Martin Lee,197.7,35.80%,54.50%,54.50%,52.90%,All
Karen Khachanov,197.7,40.30%,63.40%,47.80%,46.20%,All
Mark Woodforde,197.7,39.50%,61.70%,47.60%,48.90%,All
Juan Monaco,197.6,42.80%,56.60%,46.60%,51.60%,All
Alexei Popyrin,197.5,33.90%,64.70%,61.40%,37.50%,All
Taylor Dent,197.3,40.60%,60.40%,53.80%,42.50%,All
Sam Querrey,197.3,37.30%,62.80%,49.30%,47.90%,All
Henri Laaksonen,197.2,40.30%,58.90%,50.00%,48.00%,All
Gerard Solves,197.2,38.00%,55.10%,58.30%,45.80%,All
Takao Suzuki,197.2,35.90%,61.80%,54.50%,45.00%,All
Mariano Zabaleta,197.1,39.00%,58.90%,48.40%,50.80%,All
Florent Serra,197,39.50%,59.90%,45.60%,52.00%,All
Alejandro Davidovich Fokina,196.9,41.80%,55.60%,52.40%,47.10%,All
Olivier Rochus,196.9,41.50%,59.00%,43.90%,52.50%,All
John van Lottum,196.9,42.10%,59.00%,56.30%,39.50%,All
Robin Vik,196.9,44.60%,52.10%,68.40%,31.80%,All
Sergiy Stakhovsky,196.9,36.20%,60.60%,51.90%,48.20%,All
Max Mirnyi,196.8,35.90%,63.90%,53.20%,43.80%,All
Jose Acasuso,196.7,39.30%,60.40%,47.00%,50.00%,All
Fernando Meligeni,196.7,42.50%,58.40%,46.20%,49.60%,All
Emilio Sanchez,196.7,40.10%,59.40%,47.20%,50.00%,All
Jonas Svensson,196.7,43.40%,60.00%,48.10%,45.20%,All
Oliver Gross,196.6,42.70%,56.30%,41.20%,56.40%,All
Juan Albert Viloca-Puig,196.6,40.50%,59.10%,45.70%,51.30%,All
Paul-Henri Mathieu,196.4,40.20%,59.90%,50.20%,46.10%,All
Mackenzie McDonald,196.4,40.00%,58.80%,63.00%,34.60%,All
Christian Bergstrom,196.3,43.90%,58.00%,44.40%,50.00%,All
Michael Mmoh,196.1,43.60%,55.20%,41.70%,55.60%,All
Agustin Calleri,196,40.00%,60.40%,48.40%,47.20%,All
Gabriel Markus,196,43.20%,57.20%,46.80%,48.80%,All
Shuzo Matsuoka,196,39.20%,63.10%,51.00%,42.70%,All
Horacio Zeballos,196,36.90%,62.20%,44.50%,52.40%,All
Marcos Giron,195.9,35.40%,61.60%,38.90%,60.00%,All
Julien Benneteau,195.6,39.00%,58.60%,50.70%,47.30%,All
Doug Flach,195.6,39.80%,54.50%,64.50%,36.80%,All
Nicolas Jarry,195.6,37.10%,63.40%,48.60%,46.50%,All
Joao Sousa,195.6,37.60%,58.40%,46.90%,52.70%,All
Chuck Adams,195.5,36.10%,59.90%,54.20%,45.30%,All
Tomas Behrend,195.4,40.20%,56.60%,48.60%,50.00%,All
Karol Beck,195.4,37.50%,56.70%,49.30%,51.90%,All
Marc Gicquel,195.2,39.40%,61.10%,51.30%,43.40%,All
David Prinosil,195.2,39.20%,59.80%,45.30%,50.90%,All
Thomaz Bellucci,195.1,38.90%,59.30%,51.10%,45.80%,All
Daniel Vacek,195.1,36.80%,60.40%,48.80%,49.10%,All
Gregory Carraz,195,38.40%,62.30%,42.90%,51.40%,All
Daniele Bracciali,194.9,34.00%,61.00%,47.50%,52.40%,All
Arnaud Clement,194.9,39.40%,59.50%,51.10%,44.90%,All
Radomir Vasek,194.9,42.50%,54.30%,52.60%,45.50%,All
Rajeev Ram,194.9,35.60%,59.40%,57.70%,42.20%,All
Radu Albot,194.8,37.50%,57.30%,53.40%,46.60%,All
Denis Istomin,194.8,37.80%,61.90%,49.80%,45.30%,All
Jiri Vesely,194.8,37.60%,62.80%,47.60%,46.80%,All
Zeljko Krajan,194.7,37.60%,48.50%,77.80%,30.80%,All
Vincent Spadea,194.7,42.10%,59.80%,42.30%,50.50%,All
Ryan Sweeting,194.6,42.10%,59.70%,45.20%,47.60%,All
Andrei Pavel,194.6,40.80%,59.00%,49.50%,45.30%,All
Donald Young,194.6,38.50%,57.80%,50.00%,48.30%,All
Taro Daniel,194.4,38.70%,59.50%,51.00%,45.20%,All
Marcelo Filippini,194.4,39.30%,57.70%,60.50%,36.90%,All
Chris Woodruff,194.4,38.20%,61.40%,40.00%,54.80%,All
Marcel Granollers,194.3,40.10%,56.80%,45.30%,52.10%,All
Bjorn Fratangelo,194.1,41.60%,57.50%,50.00%,45.00%,All
Jamie Morgan,194.1,33.00%,59.40%,47.50%,54.20%,All
Vladimir Voltchkov,194.1,36.00%,57.80%,48.90%,51.40%,All
Julien Boutter,194,38.80%,62.50%,40.50%,52.20%,All
Potito Starace,194,39.70%,61.00%,47.00%,46.30%,All
Ugo Humbert,193.9,36.80%,64.40%,48.30%,44.40%,All
Frederik Fetterlein,193.9,38.10%,54.10%,57.70%,44.00%,All
Jens Knippschild,193.9,39.00%,60.00%,51.00%,43.90%,All
Austin Krajicek,193.6,30.70%,56.70%,60.00%,46.20%,All
Bart Wuyts,193.6,43.50%,51.50%,46.70%,51.90%,All
Alexander Popp,193.5,40.90%,59.20%,48.60%,44.80%,All
Fernando Vicente,193.5,41.20%,57.60%,45.90%,48.80%,All
Thiemo de Bakker,193.4,38.20%,62.30%,47.90%,45.00%,All
Sargis Sargsian,193.4,40.60%,57.90%,51.30%,43.60%,All
Igor Andreev,193.3,39.50%,59.60%,46.10%,48.10%,All
Antony Dupuis,193.3,35.00%,62.60%,53.80%,41.90%,All
Marton Fucsovics,193.2,39.10%,60.50%,51.50%,42.10%,All
Adrian Mannarino,193.2,41.90%,59.30%,44.40%,47.60%,All
Marcos Ondruska,193.2,44.30%,58.30%,42.50%,48.10%,All
Dimitri Poliakov,193,39.40%,58.50%,42.90%,52.20%,All
Jason Stoltenberg,193,41.30%,59.90%,43.10%,48.70%,All
Henrik Holm,192.8,39.30%,60.90%,43.90%,48.70%,All
Rainer Schuettler,192.8,42.30%,57.40%,48.10%,45.00%,All
Guillaume Raoux,192.7,38.60%,60.20%,54.50%,39.40%,All
David Witt,192.4,38.80%,59.10%,54.50%,40.00%,All
Ramon Delgado,192.3,38.60%,56.60%,42.60%,54.50%,All
Pierre-Hugues Herbert,192.2,37.70%,62.40%,46.60%,45.50%,All
Richard Fromberg,192.1,38.90%,61.20%,45.80%,46.20%,All
Paul Wekesa,192.1,29.40%,50.50%,45.50%,66.70%,All
Nicolas Mahut,191.9,38.40%,61.50%,42.90%,49.10%,All
Martin Damm,191.8,35.50%,59.20%,46.70%,50.40%,All
Andrei Cherkasov,191.6,41.70%,57.70%,48.20%,44.00%,All
Tatsuma Ito,191.6,36.50%,53.90%,53.10%,48.10%,All
Henri Leconte,191.4,39.70%,61.30%,50.00%,40.40%,All
Bohdan Ulihrach,191.4,41.50%,58.20%,45.70%,46.00%,All
Hubert Hurkacz,191.3,38.80%,63.50%,44.90%,44.10%,All
Filip Krajinovic,191.3,40.90%,60.50%,43.10%,46.80%,All
Michel Kratochvil,191.3,41.50%,58.70%,54.70%,36.40%,All
Sandon Stolle,191.3,38.70%,58.30%,45.70%,48.60%,All
Andrei Stoliarov,191.3,37.60%,56.80%,50.00%,46.90%,All
Markus Hantschk,191.2,37.90%,57.30%,36.00%,60.00%,All
