Player,Return Rating,% 1st Serve Return Points Won,% 2nd Serve Return Points Won,% Return Games Won,% Break Points Converted,Surface
Michel Kratochvil,146,29.50%,50.70%,24.40%,41.40%,Hard
Jarkko Nieminen,146,28.80%,51.70%,24.30%,41.20%,Hard
Bohdan Ulihrach,146,28.50%,52.50%,24.90%,40.10%,Hard
Alex Antonitsch,145.9,31.30%,48.10%,24.50%,42.00%,Hard
Andre Sa,145.9,29.10%,51.30%,24.50%,41.00%,Hard
Wayne Black,145.8,27.70%,53.00%,24.30%,40.80%,Hard
Jean-Philippe Fleurian,145.7,31.70%,47.80%,23.70%,42.50%,Hard
Alex Bogomolov Jr.,145.6,28.80%,50.60%,23.60%,42.60%,Hard
Tobias Kamke,145.6,29.70%,52.00%,24.80%,39.10%,Hard
Cristiano Caratti,145.4,29.10%,51.30%,23.60%,41.40%,Hard
Michael Stich,145.4,31.20%,48.70%,24.40%,41.10%,Hard
Yoshihito Nishioka,145.3,27.40%,54.10%,24.40%,39.40%,Hard
Filip Krajinovic,144.8,28.20%,52.10%,23.40%,41.10%,Hard
Robin Soderling,144.7,27.90%,51.50%,23.10%,42.20%,Hard
Renzo Furlan,144.6,30.20%,49.70%,24.10%,40.60%,Hard
Bernd Karbacher,144.6,28.90%,51.40%,23.60%,40.70%,Hard
Jared Palmer,144.5,28.30%,50.70%,22.60%,42.90%,Hard
Gianluca Pozzi,144.5,30.50%,49.40%,23.70%,40.90%,Hard
Pablo Carreno Busta,144.4,27.00%,52.30%,23.20%,41.90%,Hard
Robbie Weiss,144.4,29.10%,51.10%,24.00%,40.20%,Hard
Guy Forget,144.3,29.00%,50.20%,23.30%,41.80%,Hard
Evgeny Korolev,144.3,28.50%,49.90%,23.20%,42.70%,Hard
David Wheaton,144.3,29.00%,52.00%,24.00%,39.30%,Hard
Mikael Ymer,144.2,29.80%,49.80%,22.90%,41.70%,Hard
Sjeng Schalken,144.1,28.60%,50.80%,23.80%,40.90%,Hard
Tommy Haas,144,28.80%,50.60%,23.80%,40.80%,Hard
Marcos Baghdatis,143.9,29.20%,50.80%,23.20%,40.70%,Hard
Thomas Hogstedt,143.9,26.80%,50.90%,22.90%,43.30%,Hard
Olivier Delaitre,143.8,30.40%,48.50%,24.10%,40.80%,Hard
Miomir Kecmanovic,143.8,27.00%,52.20%,22.50%,42.10%,Hard
Alejandro Falla,143.7,28.60%,50.60%,23.50%,41.00%,Hard
Javier Sanchez,143.7,29.40%,50.80%,23.90%,39.60%,Hard
Ryan Sweeting,143.7,27.30%,50.90%,22.60%,42.90%,Hard
Steve Campbell,143.6,27.50%,49.80%,22.70%,43.60%,Hard
Robby Ginepri,143.6,28.50%,50.90%,23.80%,40.40%,Hard
Mikhail Kukushkin,143.6,27.40%,51.90%,22.70%,41.60%,Hard
Alexander Zverev,143.4,29.10%,50.70%,23.40%,40.20%,Hard
Richard Gasquet,143.3,29.20%,50.70%,23.70%,39.70%,Hard
Patrick Rafter,143.3,29.60%,49.80%,23.20%,40.70%,Hard
Todd Martin,143.1,27.50%,51.70%,22.80%,41.10%,Hard
Xavier Malisse,143.1,29.20%,49.60%,23.40%,40.90%,Hard
Jannik Sinner,143.1,30.10%,50.80%,23.00%,39.20%,Hard
Lars Burgsmuller,143,29.70%,50.20%,23.10%,40.00%,Hard
Blaz Kavcic,142.9,28.90%,50.80%,23.30%,39.90%,Hard
Adrian Mannarino,142.9,28.80%,49.90%,22.60%,41.60%,Hard
Radek Stepanek,142.9,29.70%,49.80%,22.80%,40.60%,Hard
Ronald Agenor,142.7,28.60%,51.40%,24.00%,38.70%,Hard
Felix Mantilla,142.7,26.50%,51.10%,22.60%,42.50%,Hard
Alex Corretja,142.6,29.60%,50.80%,23.30%,38.90%,Hard
Somdev Devvarman,142.6,28.00%,51.00%,23.70%,39.90%,Hard
Doug Flach,142.6,28.70%,50.00%,23.40%,40.50%,Hard
Viktor Troicki,142.6,30.00%,48.50%,22.80%,41.30%,Hard
Michael Russell,142.4,28.50%,49.90%,23.00%,41.00%,Hard
Stefano Pescosolido,142.3,29.30%,49.60%,24.10%,39.30%,Hard
Magnus Norman,142.3,26.80%,51.20%,23.20%,41.10%,Hard
Jakob Hlasek,142.2,28.20%,50.20%,22.10%,41.70%,Hard
Hernan Gumy,142.2,26.80%,51.20%,21.00%,43.20%,Hard
David Prinosil,142.2,28.90%,49.40%,22.80%,41.10%,Hard
Fernando Verdasco,142.2,29.20%,50.30%,22.40%,40.30%,Hard
Arnaud Clement,142.1,27.30%,52.00%,23.10%,39.70%,Hard
Stefan Koubek,142.1,29.00%,49.60%,22.50%,41.00%,Hard
Cameron Norrie,142.1,29.70%,49.70%,22.30%,40.40%,Hard
Ivo Heuberger,142,29.10%,48.50%,21.10%,43.30%,Hard
Cedric Pioline,141.9,28.50%,50.40%,23.00%,40.00%,Hard
Mardy Fish,141.8,28.90%,49.50%,22.40%,41.00%,Hard
Andrei Pavel,141.8,28.00%,50.90%,22.50%,40.40%,Hard
Taylor Dent,141.7,29.30%,48.60%,22.30%,41.50%,Hard
Alexandr Dolgopolov,141.7,29.10%,49.70%,22.90%,40.00%,Hard
Thomas Johansson,141.7,27.00%,50.90%,22.60%,41.20%,Hard
Anders Jarryd,141.7,27.50%,49.30%,22.20%,42.70%,Hard
Paul Capdeville,141.6,28.80%,48.50%,22.60%,41.70%,Hard
Richard Krajicek,141.5,29.50%,50.10%,22.50%,39.40%,Hard
Sargis Sargsian,141.5,28.90%,49.50%,22.10%,41.00%,Hard
Bjorn Phau,141.3,29.10%,49.50%,22.00%,40.70%,Hard
Derrick Rostagno,141.3,30.60%,50.00%,23.40%,37.30%,Hard
Hendrik Dreekmann,141.2,27.80%,51.20%,22.80%,39.40%,Hard
Mauricio Hadad,141.1,30.20%,49.60%,23.50%,37.80%,Hard
Patrik Kuhnen,141.1,29.30%,50.20%,21.80%,39.80%,Hard
Steve Darcis,140.9,27.80%,50.10%,22.10%,40.90%,Hard
Jan Apell,140.8,26.60%,51.90%,22.00%,40.30%,Hard
Wally Masur,140.8,29.20%,48.70%,22.60%,40.30%,Hard
Lionel Roux,140.7,27.80%,48.30%,22.00%,42.60%,Hard
Nikoloz Basilashvili,140.6,28.70%,50.30%,22.40%,39.20%,Hard
Diego Nargiso,140.6,29.10%,47.70%,21.20%,42.60%,Hard
Sandon Stolle,140.6,29.70%,49.00%,22.60%,39.30%,Hard
Hicham Arazi,140.5,27.70%,50.20%,22.40%,40.20%,Hard
Jeremy Bates,140.5,28.60%,49.40%,22.50%,40.00%,Hard
Davide Sanguinetti,140.5,28.30%,49.30%,22.30%,40.60%,Hard
Christo Van Rensburg,140.5,31.20%,48.00%,22.80%,38.50%,Hard
Tommy Robredo,140.4,28.40%,49.70%,21.90%,40.40%,Hard
Chris Woodruff,140.4,28.10%,51.20%,23.20%,37.90%,Hard
Andreas Seppi,140.3,27.50%,50.20%,21.70%,40.90%,Hard
Janko Tipsarevic,140.2,27.60%,50.70%,22.20%,39.70%,Hard
Jan-Michael Gambill,140.1,27.40%,49.90%,21.60%,41.20%,Hard
Gaston Gaudio,140.1,28.90%,50.70%,23.40%,37.10%,Hard
Jesse Levine,140.1,28.00%,48.90%,21.60%,41.60%,Hard
Alberto Mancini,140.1,27.00%,49.60%,20.10%,43.40%,Hard
Julien Benneteau,140,28.40%,49.90%,22.10%,39.60%,Hard
Marin Cilic,140,29.60%,50.30%,22.60%,37.50%,Hard
Jan Kroslak,140,27.40%,51.30%,22.30%,39.00%,Hard
Pablo Andujar,139.8,28.00%,51.40%,21.20%,39.20%,Hard
Tommy Paul,139.8,28.20%,50.90%,21.90%,38.80%,Hard
Benoit Paire,139.5,30.10%,48.80%,22.40%,38.20%,Hard
Illya Marchenko,139.4,28.10%,50.30%,21.30%,39.70%,Hard
Maurice Ruah,139.4,29.20%,50.80%,22.50%,36.90%,Hard
Dennis Novak,139.2,25.90%,51.00%,20.40%,41.90%,Hard
Neville Godwin,139.1,27.10%,50.30%,21.90%,39.80%,Hard
Tommy Ho,139.1,26.40%,50.80%,20.90%,41.00%,Hard
Cecil Mamiit,139.1,29.30%,49.00%,22.40%,38.40%,Hard
Adrian Voinea,139.1,26.60%,50.20%,20.70%,41.60%,Hard
John van Lottum,139.1,27.40%,50.40%,20.90%,40.40%,Hard
Brian Vahaly,139.1,25.90%,51.90%,21.00%,40.30%,Hard
Jerome Golmard,139,25.60%,50.00%,21.60%,41.80%,Hard
Nicolas Massu,139,28.30%,48.60%,21.80%,40.30%,Hard
Paradorn Srichaphan,139,28.50%,49.30%,21.90%,39.30%,Hard
Grigor Dimitrov,138.9,29.10%,49.50%,21.70%,38.60%,Hard
Nicolas Lapentti,138.9,28.20%,49.50%,22.40%,38.80%,Hard
Stan Wawrinka,138.9,29.30%,48.90%,21.70%,39.00%,Hard
Filip Dewulf,138.8,25.40%,49.30%,20.10%,44.00%,Hard
Peter Lundgren,138.8,30.30%,50.00%,22.90%,35.60%,Hard
Guillermo Garcia-Lopez,138.7,28.00%,49.90%,21.30%,39.50%,Hard
Jared Donaldson,138.7,26.40%,49.80%,21.70%,40.80%,Hard
Philipp Kohlschreiber,138.7,28.10%,49.30%,21.30%,40.00%,Hard
Mario Ancic,138.6,28.90%,49.20%,21.80%,38.70%,Hard
Lukasz Kubot,138.6,28.70%,48.70%,20.80%,40.40%,Hard
Radu Albot,138.5,28.50%,49.90%,22.80%,37.30%,Hard
Ivan Dodig,138.5,28.00%,49.40%,20.60%,40.50%,Hard
Christophe Rochus,138.5,26.00%,52.10%,21.70%,38.70%,Hard
Felix Auger-Aliassime,138.4,29.30%,47.70%,20.90%,40.50%,Hard
Karen Khachanov,138.4,27.20%,50.70%,20.20%,40.30%,Hard
Emilio Sanchez,138.4,29.80%,48.10%,20.80%,39.70%,Hard
Stephane Robert,138.4,28.50%,50.70%,21.20%,38.00%,Hard
Florian Mayer,138.3,26.60%,49.30%,21.30%,41.10%,Hard
Marat Safin,138.3,27.50%,50.30%,21.60%,38.90%,Hard
Javier Frana,138.2,29.20%,48.90%,20.60%,39.50%,Hard
Martin Klizan,138.2,26.80%,50.60%,20.80%,40.00%,Hard
Juan Carlos Ferrero,138.1,27.60%,51.00%,21.60%,37.90%,Hard
Borna Coric,138,26.50%,50.40%,20.60%,40.50%,Hard
Sebastien Lareau,138,27.80%,50.70%,21.60%,37.90%,Hard
Igor Kunitsyn,137.8,27.40%,50.70%,21.00%,38.70%,Hard
Dmitry Tursunov,137.8,27.20%,49.60%,20.50%,40.50%,Hard
Marinko Matosevic,137.7,27.50%,50.50%,21.10%,38.60%,Hard
Alberto Martin,137.6,27.80%,49.00%,20.50%,40.30%,Hard
Jordan Thompson,137.6,28.50%,48.60%,20.90%,39.60%,Hard
Donald Young,137.5,28.70%,49.20%,21.30%,38.30%,Hard
Ricardas Berankis,137.3,27.40%,50.10%,21.20%,38.60%,Hard
Andrey Kuznetsov,137.3,28.10%,49.60%,21.50%,38.10%,Hard
Karel Novacek,137.3,28.10%,49.90%,21.50%,37.80%,Hard
Dominic Thiem,137.3,28.70%,49.10%,21.20%,38.30%,Hard
Simon Youl,137.3,29.10%,48.50%,22.20%,37.50%,Hard
Andreas Vinciguerra,137.3,25.50%,49.00%,21.50%,41.30%,Hard
Shuzo Matsuoka,137.2,27.20%,48.80%,19.90%,41.30%,Hard
Fernando Vicente,137.2,27.90%,48.10%,20.90%,40.30%,Hard
Andrei Stoliarov,137.2,27.40%,50.10%,22.10%,37.60%,Hard
Jurgen Melzer,136.9,28.70%,47.80%,21.10%,39.30%,Hard
Luiz Mattar,136.9,28.90%,48.30%,20.90%,38.80%,Hard
Carlos Moya,136.7,27.80%,49.70%,21.20%,38.00%,Hard
Andy Roddick,136.7,27.00%,49.40%,20.80%,39.50%,Hard
Ivo Minar,136.6,28.60%,46.30%,20.10%,41.60%,Hard
Tim Smyczek,136.6,27.70%,49.00%,20.50%,39.40%,Hard
Hyung-Taik Lee,136.5,28.20%,49.10%,21.10%,38.10%,Hard
Mackenzie McDonald,136.5,26.00%,51.40%,19.30%,39.80%,Hard
Yen-Hsun Lu,136.4,27.20%,50.50%,20.80%,37.90%,Hard
Albert Costa,136.3,26.80%,50.30%,21.50%,37.70%,Hard
Andrea Gaudenzi,136.3,27.90%,51.10%,21.80%,35.50%,Hard
Ricardo Mello,136.3,27.40%,50.60%,20.00%,38.30%,Hard
Dusan Lajovic,136.1,26.40%,48.90%,19.10%,41.70%,Hard
Fred Gil,136,27.10%,48.30%,19.30%,41.30%,Hard
Franco Squillari,136,27.90%,49.30%,20.60%,38.20%,Hard
Mischa Zverev,136,28.90%,48.10%,20.00%,39.00%,Hard
Gustavo Kuerten,135.9,26.10%,49.80%,20.50%,39.50%,Hard
Stefano Travaglia,135.8,27.70%,48.30%,20.80%,39.00%,Hard
Hubert Hurkacz,135.7,28.30%,48.50%,20.20%,38.70%,Hard
Nicklas Kulti,135.7,26.20%,50.80%,20.50%,38.20%,Hard
Christian Ruud,135.7,27.50%,51.50%,21.20%,35.50%,Hard
George Bastl,135.6,28.60%,49.20%,22.10%,35.70%,Hard
Robin Haase,135.6,27.50%,48.10%,20.10%,39.90%,Hard
Agustin Calleri,135.5,27.80%,49.30%,20.30%,38.10%,Hard
Gilbert Schaller,135.5,26.10%,52.40%,20.80%,36.20%,Hard
Karol Beck,135.4,29.30%,48.90%,20.60%,36.60%,Hard
Fernando Gonzalez,135.4,28.10%,48.20%,20.20%,38.90%,Hard
Alex O'Brien,135.4,26.00%,49.90%,20.20%,39.30%,Hard
Danai Udomchoke,135.4,28.30%,49.80%,20.30%,37.00%,Hard
Marc Rosset,135.3,27.70%,49.10%,20.30%,38.20%,Hard
Grega Zemlja,135.3,27.70%,48.30%,19.80%,39.50%,Hard
Jo-Wilfried Tsonga,135.3,28.20%,47.40%,19.80%,39.90%,Hard
Michael Tebbutt,135.1,27.70%,48.80%,20.10%,38.50%,Hard
Justin Gimelstob,135,27.90%,47.70%,20.20%,39.20%,Hard
Jonathan Stark,135,29.10%,47.20%,20.00%,38.70%,Hard
Leonardo Lavalle,134.9,28.20%,48.80%,20.50%,37.40%,Hard
Kevin Curren,134.8,29.30%,47.60%,21.40%,36.50%,Hard
Ramon Delgado,134.8,27.00%,48.60%,19.90%,39.30%,Hard
Tomas Zib,134.8,24.70%,49.40%,19.60%,41.10%,Hard
Marc Gicquel,134.7,27.50%,47.80%,19.90%,39.50%,Hard
Carlos Berlocq,134.6,28.60%,47.50%,20.40%,38.10%,Hard
Karsten Braasch,134.6,29.10%,47.60%,19.10%,38.80%,Hard
Matthew Ebden,134.6,27.40%,47.60%,19.80%,39.80%,Hard
Thomas Fabbiano,134.6,26.90%,52.50%,19.70%,35.50%,Hard
Goran Ivanisevic,134.5,25.80%,48.60%,19.70%,40.40%,Hard
Denis Shapovalov,134.4,28.30%,47.50%,19.50%,39.10%,Hard
Santiago Giraldo,134.3,26.80%,48.40%,20.20%,38.90%,Hard
Kevin Kim,134.3,28.20%,47.70%,20.10%,38.30%,Hard
Alexander Mronz,134.3,27.30%,46.90%,20.20%,39.90%,Hard
Rodolphe Gilbert,134.2,27.80%,49.10%,21.40%,35.90%,Hard
Fernando Meligeni,134.2,27.00%,48.30%,20.30%,38.60%,Hard
Alex Radulescu,134.2,26.80%,47.10%,19.60%,40.70%,Hard
Marcel Granollers,134.1,27.00%,48.90%,19.90%,38.30%,Hard
Harel Levy,134.1,28.20%,46.80%,19.20%,39.90%,Hard
Magnus Larsson,134,26.50%,49.60%,19.80%,38.10%,Hard
Arnaud Di Pasquale,133.9,28.30%,48.60%,20.30%,36.70%,Hard
Joao Sousa,133.8,28.50%,48.00%,20.40%,36.90%,Hard
Peter Gojowczyk,133.7,27.40%,48.80%,19.00%,38.50%,Hard
Richard Fromberg,133.6,28.10%,48.60%,20.10%,36.80%,Hard
Jack Sock,133.6,26.90%,48.20%,19.50%,39.00%,Hard
Soonwoo Kwon,133.5,28.40%,49.60%,20.00%,35.50%,Hard
Joern Renzenbrink,133.5,27.80%,49.00%,18.60%,38.10%,Hard
Denis Istomin,133.4,27.00%,48.10%,19.30%,39.00%,Hard
Gouichi Motomura,133.4,24.80%,48.50%,20.10%,40.00%,Hard
Bjorn Fratangelo,133.3,24.70%,50.00%,18.90%,39.70%,Hard
Guido Pella,133.3,26.00%,51.00%,19.10%,37.20%,Hard
Chuck Adams,133.1,28.20%,48.10%,20.30%,36.50%,Hard
Julian Alonso,133.1,27.00%,48.60%,21.10%,36.40%,Hard
Mark Petchey,133.1,27.80%,46.80%,18.60%,39.90%,Hard
Frances Tiafoe,133,26.10%,49.30%,19.00%,38.60%,Hard
Cedrik-Marcel Stebe,133,28.70%,47.80%,20.10%,36.40%,Hard
Alexander Popp,132.9,28.20%,46.60%,19.60%,38.50%,Hard
Kyle Edmund,132.8,26.10%,51.00%,20.30%,35.40%,Hard
Andrey Golubev,132.8,26.50%,47.00%,18.50%,40.80%,Hard
Philipp Petzschner,132.8,28.10%,47.10%,19.60%,38.00%,Hard
Lucas Pouille,132.8,25.90%,48.60%,18.70%,39.60%,Hard
Chris Pridham,132.7,28.50%,47.60%,19.80%,36.80%,Hard
Guillaume Raoux,132.7,26.20%,49.40%,19.30%,37.80%,Hard
Florent Serra,132.6,25.80%,48.80%,18.40%,39.60%,Hard
Andrei Olhovskiy,132.5,27.50%,50.10%,19.20%,35.70%,Hard
Simon Greul,132.4,27.00%,48.10%,18.70%,38.60%,Hard
Paul-Henri Mathieu,132.3,25.70%,49.20%,19.00%,38.40%,Hard
Kristof Vliegen,132.3,27.70%,47.20%,19.00%,38.40%,Hard
Marcelo Filippini,132.2,27.60%,48.90%,18.80%,36.90%,Hard
Stefanos Tsitsipas,132.2,26.90%,48.10%,18.40%,38.80%,Hard
Teymuraz Gabashvili,132,25.90%,49.10%,18.70%,38.30%,Hard
Patrick Baur,131.9,29.20%,48.90%,19.10%,34.70%,Hard
Ryan Harrison,131.9,27.20%,47.00%,19.00%,38.70%,Hard
Jan-Lennard Struff,131.9,26.60%,48.90%,18.90%,37.50%,Hard
Gregory Carraz,131.6,26.30%,45.30%,17.80%,42.20%,Hard
Wayne Odesnik,131.6,24.20%,52.00%,19.50%,35.90%,Hard
Paolo Lorenzi,131.4,26.30%,48.70%,18.90%,37.50%,Hard
Rik De Voest,131.3,25.40%,49.10%,18.10%,38.70%,Hard
Dennis Van Scheppingen,131.3,27.50%,47.10%,18.80%,37.90%,Hard
Daniel Vacek,131.3,26.80%,48.30%,19.20%,37.00%,Hard
Ilya Ivashka,131.2,27.80%,51.10%,19.80%,32.50%,Hard
Alex Calatrava,131.1,26.00%,47.00%,19.20%,38.90%,Hard
Mark Philippoussis,131.1,26.70%,47.80%,19.10%,37.50%,Hard
Yuichi Sugita,131,25.10%,49.40%,18.50%,38.00%,Hard
Igor Andreev,130.8,27.70%,46.80%,18.30%,38.00%,Hard
Thomaz Bellucci,130.6,26.50%,48.80%,18.90%,36.40%,Hard
Denis Gremelmayr,130.6,27.40%,46.00%,18.20%,39.00%,Hard
Lloyd Harris,130.6,25.90%,47.40%,17.80%,39.50%,Hard
Martin Sinner,130.6,28.10%,49.00%,19.30%,34.20%,Hard
David Sanchez,130.6,27.80%,48.70%,19.30%,34.80%,Hard
Peter Wessels,130.5,25.00%,49.10%,17.60%,38.80%,Hard
Andreas Beck,130.4,28.20%,46.50%,18.00%,37.70%,Hard
Andrew Ilie,130.4,27.20%,48.50%,19.10%,35.60%,Hard
Johan Van Herck,130.3,23.30%,49.40%,15.40%,42.20%,Hard
Edouard Roger-Vasselin,130.2,27.10%,47.40%,18.70%,37.00%,Hard
Aljaz Bedene,130.1,25.90%,48.60%,18.10%,37.50%,Hard
Kenneth Carlsen,130,27.30%,47.50%,18.20%,37.00%,Hard
Egor Gerasimov,130,26.40%,50.40%,17.90%,35.30%,Hard
Albert Ramos-Vinolas,129.9,26.20%,48.20%,18.20%,37.30%,Hard
Jeff Morrison,129.8,28.20%,45.60%,18.30%,37.70%,Hard
Marco Chiudinelli,129.7,26.00%,48.10%,17.80%,37.80%,Hard
Kristian Pless,129.7,25.50%,47.10%,17.80%,39.30%,Hard
Sam Querrey,129.7,26.70%,46.80%,18.00%,38.20%,Hard
Henri Laaksonen,129.7,25.90%,47.30%,17.00%,39.50%,Hard
Vladimir Voltchkov,129.7,26.20%,49.30%,19.10%,35.10%,Hard
Tatsuma Ito,129.6,27.10%,49.60%,18.60%,34.30%,Hard
Denis Kudla,129.4,25.80%,47.30%,17.60%,38.70%,Hard
Noam Okun,129.4,28.40%,44.80%,18.40%,37.80%,Hard
Ernests Gulbis,129.3,27.20%,47.70%,18.30%,36.10%,Hard
Irakli Labadze,129.3,26.70%,45.00%,17.30%,40.30%,Hard
Michael Berrer,129.2,27.20%,47.80%,18.10%,36.10%,Hard
Jan Siemerink,129.1,28.00%,47.50%,18.00%,35.60%,Hard
Mariano Zabaleta,129.1,28.30%,46.80%,19.30%,34.70%,Hard
Nicolas Almagro,129,25.70%,48.30%,17.80%,37.20%,Hard
Lukas Lacko,129,25.80%,48.00%,17.90%,37.30%,Hard
Benjamin Becker,128.9,25.50%,47.30%,17.50%,38.60%,Hard
Alexander Bublik,128.7,27.50%,45.50%,17.70%,38.00%,Hard
Jamie Morgan,128.7,27.30%,48.00%,18.70%,34.70%,Hard
Nick Kyrgios,128.7,24.10%,47.90%,17.00%,39.70%,Hard
Greg Rusedski,128.7,26.60%,46.70%,17.60%,37.80%,Hard
Taylor Fritz,128.6,25.00%,49.70%,18.00%,35.90%,Hard
Jordi Burillo,128.5,23.80%,48.60%,17.80%,38.30%,Hard
Neil Borwick,128.3,28.30%,44.70%,18.60%,36.70%,Hard
Brian MacPhie,128.3,27.70%,47.80%,18.00%,34.80%,Hard
David Rikl,128.2,26.80%,46.40%,18.50%,36.50%,Hard
Sergiy Stakhovsky,128.2,27.10%,46.90%,17.90%,36.30%,Hard
Evgeny Donskoy,128.1,26.30%,46.70%,17.20%,37.90%,Hard
Jim Grabb,128,28.50%,46.60%,17.80%,35.10%,Hard
Oleg Ogorodov,128,26.30%,48.00%,18.00%,35.70%,Hard
Jeremy Chardy,127.9,25.50%,48.40%,17.40%,36.60%,Hard
Leonardo Mayer,127.9,26.50%,47.20%,16.90%,37.30%,Hard
Juan Balcells,127.6,28.00%,47.30%,18.10%,34.20%,Hard
Scott Draper,127.6,25.90%,47.90%,17.40%,36.40%,Hard
Jerzy Janowicz,127.6,26.50%,46.20%,17.20%,37.70%,Hard
Ugo Humbert,127.5,26.20%,47.50%,17.20%,36.60%,Hard
Igor Sijsling,127.5,26.50%,46.80%,17.60%,36.60%,Hard
Malek Jaziri,127.4,25.70%,48.30%,17.70%,35.70%,Hard
Filippo Volandri,127.3,26.50%,45.90%,17.30%,37.60%,Hard
Danilo Marcelino,127.2,28.20%,45.80%,18.10%,35.10%,Hard
Bernard Tomic,127.2,25.30%,47.60%,17.70%,36.60%,Hard
Ruben Bemelmans,127.1,25.60%,47.10%,16.10%,38.30%,Hard
Leander Paes,127.1,25.40%,47.40%,17.50%,36.80%,Hard
Matthias Bachinger,126.8,26.90%,49.10%,17.80%,33.00%,Hard
Peter Polansky,126.7,24.80%,48.20%,17.30%,36.40%,Hard
Grant Connell,126.6,30.30%,46.30%,17.00%,33.00%,Hard
Nicolas Mahut,126.6,25.60%,46.90%,16.90%,37.20%,Hard
Thanasi Kokkinakis,126.6,23.80%,49.00%,15.80%,38.00%,Hard
Tomas Behrend,126.4,26.50%,46.10%,18.30%,35.50%,Hard
Norbert Gombos,126.3,26.30%,48.80%,16.90%,34.30%,Hard
Ivan Ljubicic,126.3,26.20%,46.80%,17.30%,36.00%,Hard
Martin Damm,126.2,26.20%,47.40%,17.70%,34.90%,Hard
Pablo Cuevas,126.2,26.40%,46.70%,16.90%,36.20%,Hard
Victor Hanescu,126.2,26.60%,45.60%,16.50%,37.50%,Hard
Marcos Giron,126.1,25.20%,48.90%,17.50%,34.50%,Hard
Pierre-Hugues Herbert,126.1,25.50%,46.90%,16.00%,37.70%,Hard
Kevin Anderson,126,25.70%,47.10%,16.70%,36.50%,Hard
Horst Skoff,125.8,23.90%,47.50%,17.40%,37.00%,Hard
Stephane Simian,125.6,26.70%,48.00%,17.20%,33.70%,Hard
Cyril Saulnier,125.6,25.00%,47.30%,16.30%,37.00%,Hard
Bob Bryan,125.4,23.50%,46.70%,15.30%,39.90%,Hard
Victor Estrella Burgos,125.1,23.60%,45.10%,16.60%,39.80%,Hard
Jiri Vesely,125.1,26.20%,46.50%,17.00%,35.40%,Hard
Luis Horna,125,23.70%,46.00%,16.00%,39.30%,Hard
Michiel Schapers,124.9,28.20%,45.10%,16.80%,34.80%,Hard
Taro Daniel,124.8,23.40%,48.10%,17.90%,35.40%,Hard
Matteo Berrettini,124.8,26.90%,46.80%,16.20%,34.90%,Hard
Ruben Ramirez Hidalgo,124.8,24.90%,47.20%,16.70%,36.00%,Hard
Karim Alami,124.7,26.20%,45.80%,17.00%,35.70%,Hard
Raemon Sluiter,124.7,26.00%,46.20%,16.70%,35.80%,Hard
Jose Acasuso,124.5,24.00%,48.30%,16.70%,35.50%,Hard
Go Soeda,124.5,26.60%,45.50%,16.60%,35.80%,Hard
Thierry Ascione,124.3,25.20%,47.00%,16.60%,35.50%,Hard
Thiemo de Bakker,124.1,25.70%,46.00%,16.70%,35.70%,Hard
Albert Montanes,124.1,23.10%,46.30%,15.00%,39.70%,Hard
Casper Ruud,124.1,23.20%,47.70%,15.90%,37.30%,Hard
Laurence Tieleman,124.1,27.00%,43.20%,16.60%,37.30%,Hard
Cristian Garin,124,23.30%,47.90%,16.50%,36.30%,Hard
Jacco Eltingh,123.8,25.00%,48.30%,15.30%,35.20%,Hard
Younes El Aynaoui,123.8,25.80%,46.50%,16.20%,35.30%,Hard
Jiri Vanek,123.8,24.40%,46.40%,15.50%,37.50%,Hard
Michael Llodra,123.7,26.90%,45.80%,16.00%,35.00%,Hard
Vasek Pospisil,123.7,25.90%,45.10%,15.70%,37.00%,Hard
Daniel Nestor,123.6,24.40%,47.30%,16.90%,35.00%,Hard
Federico Delbonis,123.4,23.70%,49.20%,15.10%,35.40%,Hard
Milos Raonic,123.2,26.30%,45.80%,15.50%,35.60%,Hard
Takao Suzuki,123,25.70%,44.50%,15.20%,37.60%,Hard
Laslo Djere,122.8,25.10%,47.50%,14.90%,35.30%,Hard
Tennys Sandgren,122.6,25.70%,47.00%,15.60%,34.30%,Hard
Marc-Kevin Goellner,122.3,24.10%,47.40%,15.70%,35.10%,Hard
Robert Kendrick,122.2,25.70%,47.10%,15.40%,34.00%,Hard
Joachim Johansson,122.1,22.80%,47.60%,15.20%,36.50%,Hard
Potito Starace,122.1,25.30%,45.00%,15.90%,35.90%,Hard
Dustin Brown,122,26.40%,45.70%,16.10%,33.80%,Hard
Marsel Ilhan,122,24.40%,44.10%,15.90%,37.60%,Hard
Gary Muller,122,25.30%,44.90%,15.20%,36.60%,Hard
Antony Dupuis,121.5,24.70%,45.30%,15.50%,36.00%,Hard
Markus Zoecke,121.4,25.20%,46.20%,15.70%,34.30%,Hard
Mariano Puerta,121.3,22.40%,46.00%,14.90%,38.00%,Hard
James Duckworth,121.1,25.00%,45.30%,14.30%,36.50%,Hard
Frank Dancevic,121,25.20%,44.90%,15.70%,35.20%,Hard
Peter Luczak,121,21.80%,48.10%,14.90%,36.20%,Hard
Glenn Weiner,120.9,25.20%,46.70%,14.90%,34.10%,Hard
Max Mirnyi,120.8,26.60%,43.70%,14.70%,35.80%,Hard
Julien Boutter,120.7,24.70%,44.80%,15.80%,35.40%,Hard
Simone Bolelli,120.7,23.40%,45.90%,14.00%,37.40%,Hard
