Player,Return Rating,% 1st Serve Return Points Won,% 2nd Serve Return Points Won,% Return Games Won,% Break Points Converted,Surface
Marin Cilic,141.3,30.00%,50.10%,22.70%,38.50%,All
Tomas Behrend,141.1,28.90%,49.90%,22.10%,40.20%,All
Karim Alami,141.1,31.10%,48.80%,22.80%,38.40%,All
Marcos Aurelio Gorriz,141.1,30.40%,48.90%,22.00%,39.80%,All
Hugo Dellien,141.1,30.80%,51.20%,23.00%,36.10%,All
David Rikl,141.1,28.70%,49.00%,22.60%,40.80%,All
Stan Wawrinka,141.1,30.00%,49.40%,22.60%,39.10%,All
Chris Wilkinson,141.1,27.90%,53.00%,22.20%,38.00%,All
Lars Burgsmuller,141,29.40%,49.80%,21.70%,40.10%,All
German Puentes,141,31.90%,46.30%,23.00%,39.80%,All
Jurgen Melzer,140.9,29.90%,48.40%,22.60%,40.00%,All
Evgeny Korolev,140.8,28.50%,49.40%,21.60%,41.30%,All
Tomas Nydahl,140.8,27.20%,52.30%,23.20%,38.10%,All
Stephane Robert,140.8,28.40%,51.00%,21.50%,39.90%,All
Juan Albert Viloca-Puig,140.8,28.30%,50.20%,21.80%,40.50%,All
Somdev Devvarman,140.7,28.10%,49.90%,22.70%,40.00%,All
Thomas Johansson,140.6,27.20%,50.40%,22.10%,40.90%,All
Michael Russell,140.6,28.50%,49.60%,22.30%,40.20%,All
Frederik Fetterlein,140.5,28.60%,52.10%,21.70%,38.10%,All
Thomas Hogstedt,140.5,26.50%,50.80%,21.40%,41.80%,All
Marat Safin,140.5,28.70%,50.20%,22.40%,39.20%,All
Jakob Hlasek,140.4,28.60%,49.60%,21.90%,40.30%,All
Lukasz Kubot,140.4,29.20%,49.00%,21.90%,40.30%,All
Albert Montanes,140.4,29.10%,49.50%,22.40%,39.40%,All
Davide Sanguinetti,140.4,29.60%,49.00%,22.70%,39.10%,All
Mario Ancic,140.3,29.60%,48.80%,22.10%,39.80%,All
Taylor Dent,140.2,29.40%,48.50%,21.70%,40.60%,All
Tommy Paul,140.2,27.80%,50.40%,21.90%,40.10%,All
Olivier Delaitre,140.1,28.80%,49.00%,22.60%,39.70%,All
Federico Delbonis,140.1,29.00%,50.00%,21.60%,39.50%,All
Mardy Fish,140.1,28.80%,49.30%,21.60%,40.40%,All
Lars Koslowski,140.1,29.00%,52.40%,23.10%,35.60%,All
Alexandr Dolgopolov,140,29.20%,49.30%,21.90%,39.60%,All
Alex Antonitsch,139.9,29.50%,48.20%,21.80%,40.40%,All
Igor Kunitsyn,139.9,28.10%,50.70%,21.80%,39.30%,All
Jared Palmer,139.9,27.70%,50.20%,21.40%,40.60%,All
Robbie Weiss,139.9,27.60%,50.80%,22.50%,39.00%,All
Radu Albot,139.8,28.70%,50.80%,22.80%,37.50%,All
Neville Godwin,139.8,27.00%,50.20%,21.50%,41.10%,All
Henrik Holm,139.8,31.00%,47.70%,21.80%,39.30%,All
Miomir Kecmanovic,139.8,26.70%,51.30%,21.00%,40.80%,All
Thomaz Bellucci,139.7,29.30%,49.80%,21.70%,38.90%,All
Galo Blanco,139.7,28.30%,50.00%,22.10%,39.30%,All
Nicolas Almagro,139.7,29.30%,49.50%,21.90%,39.00%,All
Gastao Elias,139.7,30.90%,46.20%,21.70%,40.90%,All
Paul-Henri Mathieu,139.7,27.70%,50.30%,21.50%,40.20%,All
Gerard Solves,139.7,29.50%,50.30%,21.90%,38.00%,All
Salvatore Caruso,139.6,27.80%,50.90%,22.20%,38.70%,All
Grigor Dimitrov,139.6,29.70%,49.30%,22.00%,38.60%,All
Razvan Sabau,139.6,28.10%,50.80%,21.40%,39.30%,All
Julien Benneteau,139.5,28.70%,49.80%,22.00%,39.00%,All
Renzo Olivo,139.5,30.50%,49.10%,22.00%,37.90%,All
Henri Laaksonen,139.4,28.60%,49.40%,21.10%,40.30%,All
Irakli Labadze,139.4,29.50%,47.50%,21.00%,41.40%,All
Karen Khachanov,139.3,28.10%,50.00%,20.90%,40.30%,All
Alex Kim,139.2,29.60%,51.20%,20.70%,37.70%,All
Roberto Azar,139.1,27.90%,49.60%,21.50%,40.10%,All
Dennis Novak,139.1,26.10%,50.60%,20.20%,42.20%,All
Alexander Popp,139.1,28.70%,48.50%,21.00%,40.90%,All
Igor Andreev,139,29.80%,48.30%,21.40%,39.50%,All
Tommy Ho,139,26.90%,50.50%,20.90%,40.70%,All
Diego Junqueira,139,29.20%,48.30%,21.70%,39.80%,All
Diego Nargiso,139,30.20%,47.70%,21.10%,40.00%,All
Cameron Norrie,139,29.00%,49.00%,21.40%,39.60%,All
Jaume Munar,139,30.70%,50.20%,21.60%,36.50%,All
Todd Reid,138.9,28.40%,48.00%,20.60%,41.90%,All
Lukas Dlouhy,138.8,29.10%,48.70%,20.40%,40.60%,All
Nicklas Kulti,138.8,28.40%,50.50%,21.70%,38.20%,All
Richard Krajicek,138.8,28.80%,49.40%,21.20%,39.40%,All
Juan Ignacio Londero,138.8,28.30%,50.30%,21.10%,39.10%,All
Mark Petchey,138.8,29.30%,49.00%,20.90%,39.60%,All
Cecil Mamiit,138.8,29.90%,48.90%,22.40%,37.60%,All
Fernando Roese,138.8,31.70%,45.60%,21.40%,40.10%,All
David Prinosil,138.8,27.70%,50.30%,21.60%,39.20%,All
Jan Apell,138.7,26.80%,50.80%,21.20%,39.90%,All
Ivan Dodig,138.7,28.50%,48.80%,20.70%,40.70%,All
Alessandro Giannessi,138.7,29.80%,49.60%,22.10%,37.20%,All
Wayne Odesnik,138.7,26.90%,51.50%,21.60%,38.70%,All
Janko Tipsarevic,138.6,27.40%,50.30%,21.30%,39.60%,All
Emilio Benfele Alvarez,138.5,29.10%,48.10%,21.20%,40.10%,All
Federico Luzzi,138.4,30.40%,47.10%,21.10%,39.80%,All
Christian Vinck,138.4,28.20%,50.00%,20.70%,39.50%,All
Lionel Roux,138.4,27.80%,47.90%,20.80%,41.90%,All
Pablo Cuevas,138.3,29.10%,48.40%,20.90%,39.90%,All
Sandon Stolle,138.3,28.70%,49.30%,21.60%,38.70%,All
Andrei Stoliarov,138.3,28.20%,49.90%,22.60%,37.60%,All
Brian Vahaly,138.3,27.60%,52.00%,20.80%,37.90%,All
Hendrik Dreekmann,138.2,27.40%,50.90%,21.80%,38.10%,All
Magnus Larsson,138.2,27.90%,50.10%,21.50%,38.70%,All
Casper Ruud,138.2,27.50%,49.20%,21.70%,39.80%,All
Johan Van Herck,138.2,26.40%,50.80%,20.20%,40.80%,All
Wally Masur,138.1,28.30%,49.10%,21.30%,39.40%,All
